"","variable","labels"
"1","id","NHANES partiipant ID (dbl)"
"2","age","Age (dbl)"
"3","sex","Sex (chr)"
"4","race","Race (chr)"
"5","income_to_poverty","Income to Poverty Ratio (db)"
"6","education","Education Category (chr)"
"7","marriage","Marriage Status Category (chr)"
"8","household_size","Number of People in Household (dbl)"
"9","bmi","BMI Value (dbl)"
"10","kcal","Energy Intake in kcal (dbl)"
"11","fiber_den","Fiber Density in g/1000 kcal (dbl)"
"12","sugar_den","Sugar Density in g/1000 kcal (dbl)"
"13","satfat_den","Saturated Fat Density in g/1000 kcal (dbl)"
"14","sodium_den","Sodium Density in g/1000 kcal (dbl)"
"15","protein_intake","Protein Intake in g (dbl)"
"16","carb_intake","Carbohydrate Intake in g (dbl)"
"17","fiber_intake","Fiber Intake in g (dbl)"
"18","sugar_intake","Sugar Intake in g (dbl)"
"19","fat_intake","Fat Intake in g (dbl)"
"20","sodium_intake","Sodium Intake in g (dbl)"
"21","cant_afford_meals","Couldn't Afford Balanced Meals Category (chr)"
"22","food_security","Adult Food Security Category (chr)"
"23","health_condition","General Health Condition (chr)"
"24","health_location","Healthcare Location (chr)"
"25","seen_mental_health","Seen Mental Health Professional in past yr"
