"variable","labels"
"id","NHANES partiipant ID (dbl)"
"age","Age (dbl)"
"sex","Sex (chr)"
"race","Race (chr)"
"income_to_poverty","Income to Poverty Ratio (db)"
"education","Education Category (chr)"
"marriage","Marriage Status Category (chr)"
"household_size","Number of People in Household (dbl)"
"bmi","BMI Value (dbl)"
"is_obese","Obese Binary [1 = Obese] (dbl)"
"fiber_den","Fiber Density in g/1000 kcal (dbl)"
"sugar_den","Sugar Density in g/1000 kcal (dbl)"
"satfat_den","Saturated Fat Density in g/1000 kcal (dbl)"
"sodium_den","Sodium Density in g/1000 kcal (dbl)"
"kcal","Energy Intake in kcal (dbl)"
"protein_intake","Protein Intake in g (dbl)"
"carb_intake","Carbohydrate Intake in g (dbl)"
"fiber_intake","Fiber Intake in g (dbl)"
"sugar_intake","Sugar Intake in g (dbl)"
"fat_intake","Fat Intake in g (dbl)"
"sodium_intake","Sodium Intake in g (dbl)"
"cant_afford_meals","Couldn't Afford Balanced Meals Category (chr)"
"food_security","Adult Food Security Category (chr)"
"health_condition","General Health Condition (chr)"
"health_location","Healthcare Location (chr)"
"seen_mental_health","Seen Mental Health Professional in past yr"
